Latency,Bandwidth,ReconnectTime
0.10213208198547363,51,0.0010018348693847656
0.10177159309387207,134,
0.10140419006347656,115,
0.10167717933654785,116,
,81,
,115,
,134,
,115,
,115,
,134,
,117,
,81,
,115,
,115,
,135,
,117,
,115,
,81,
,115,
,135,
,116,
,115,
,135,
,115,
,81,
,115,
,115,
,135,
,115,
