Latency_RTT,Bandwidth
0.10208296775817871,135
0.10194134712219238,52
0.10258054733276367,116
0.10263276100158691,117
,136
,116
,78
,78
,116
,116
,137
,116
,118
,78
,78
,116
,135
,116
,117
,136
,116
,77
,77
,115
,116
,136
,116
,117
,78
,78
,116
