Latency,Bandwidth,ReconnectTime
0.10208296775817871,135,0.01675868034362793
0.10069990158081055,52,
0.10049653053283691,116,
0.10055899620056152,117,
,136,
,116,
,78,
,116,
,116,
,137,
,116,
,118,
,78,
,116,
,135,
,116,
,117,
,136,
,116,
,77,
,115,
,116,
,136,
,116,
,117,
,78,
,116,
,135,
,118,
