Latency,Bandwidth,ReconnectTime
0.10887742042541504,66,0.13338828086853027
0.10826492309570312,75,
0.10852384567260742,68,
0.10811138153076172,64,
,50,
,66,
,49,
,65,
,76,
,69,
,64,
,50,
,66,
,64,
,76,
,69,
,66,
,50,
,64,
,50,
,64,
,76,
,69,
,66,
